"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6846",206000,"Powiat jeleniogórski",2004,48.9
"6847",207000,"Powiat kamiennogórski",2004,41
"6848",208000,"Powiat kłodzki",2004,53.8
"6849",209000,"Powiat legnicki",2004,47.8
"6850",210000,"Powiat lubański",2004,45.4
"6851",211000,"Powiat lubiński",2004,42
"6852",212000,"Powiat lwówecki",2004,46.2
"6853",213000,"Powiat milicki",2004,47.2
"6854",214000,"Powiat oleśnicki",2004,47
"6855",215000,"Powiat oławski",2004,49.1
"6856",216000,"Powiat polkowicki",2004,52.1
"6857",217000,"Powiat strzeliński",2004,51.3
"6858",218000,"Powiat średzki",2004,47.8
"6859",219000,"Powiat świdnicki",2004,46.2
"6860",220000,"Powiat trzebnicki",2004,49.3
"6861",221000,"Powiat wałbrzyski",2004,45.5
"6862",222000,"Powiat wołowski",2004,52
"6863",223000,"Powiat wrocławski",2004,58.6
"6864",224000,"Powiat ząbkowicki",2004,45
"6865",225000,"Powiat zgorzelecki",2004,51.9
"6866",226000,"Powiat złotoryjski",2004,52.4
"6867",261000,"Powiat m.Jelenia Góra",2004,42.2
"6868",262000,"Powiat m.Legnica",2004,46.2
"6869",264000,"Powiat m.Wrocław",2004,55.9
"6870",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"6871",401000,"Powiat aleksandrowski",2004,51.9
"6872",402000,"Powiat brodnicki",2004,52.2
"6873",403000,"Powiat bydgoski",2004,54
"6874",404000,"Powiat chełmiński",2004,50.3
"6875",405000,"Powiat golubsko-dobrzyński",2004,54.2
"6876",406000,"Powiat grudziądzki",2004,55.6
"6877",407000,"Powiat inowrocławski",2004,55.7
"6878",408000,"Powiat lipnowski",2004,56.9
"6879",409000,"Powiat mogileński",2004,58.4
"6880",410000,"Powiat nakielski",2004,54.2
"6881",411000,"Powiat radziejowski",2004,57.4
"6882",412000,"Powiat rypiński",2004,57.5
"6883",413000,"Powiat sępoleński",2004,54.6
"6884",414000,"Powiat świecki",2004,57.5
"6885",415000,"Powiat toruński",2004,50.1
"6886",416000,"Powiat tucholski",2004,55.1
"6887",417000,"Powiat wąbrzeski",2004,55.5
"6888",418000,"Powiat włocławski",2004,57.4
"6889",419000,"Powiat żniński",2004,55.5
"6890",461000,"Powiat m.Bydgoszcz",2004,44.2
"6891",462000,"Powiat m.Grudziądz",2004,51.2
"6892",463000,"Powiat m.Toruń",2004,45.7
"6893",464000,"Powiat m.Włocławek",2004,49.5
"6894",601000,"Powiat bialski",2004,59.9
"6895",602000,"Powiat biłgorajski",2004,49.5
"6896",603000,"Powiat chełmski",2004,59.1
"6897",604000,"Powiat hrubieszowski",2004,60.7
"6898",605000,"Powiat janowski",2004,53.9
"6899",606000,"Powiat krasnostawski",2004,53.9
"6900",607000,"Powiat kraśnicki",2004,52.1
"6901",608000,"Powiat lubartowski",2004,58.1
"6902",609000,"Powiat lubelski",2004,54.2
"6903",610000,"Powiat łęczyński",2004,54.6
"6904",611000,"Powiat łukowski",2004,52.4
"6905",612000,"Powiat opolski",2004,59.7
"6906",613000,"Powiat parczewski",2004,59.8
"6907",614000,"Powiat puławski",2004,51.2
"6908",615000,"Powiat radzyński",2004,60.2
"6909",616000,"Powiat rycki",2004,54.4
"6910",617000,"Powiat świdnicki",2004,52.3
"6911",618000,"Powiat tomaszowski",2004,52.9
"6912",619000,"Powiat włodawski",2004,54.2
"6913",620000,"Powiat zamojski",2004,55.8
"6914",661000,"Powiat m.Biała Podlaska",2004,56.3
"6915",662000,"Powiat m.Chełm",2004,52.9
"6916",663000,"Powiat m.Lublin",2004,52.8
"6917",664000,"Powiat m.Zamość",2004,50.3
"6918",801000,"Powiat gorzowski",2004,46.7
"6919",802000,"Powiat krośnieński",2004,53.1
"6920",803000,"Powiat międzyrzecki",2004,46.4
"6921",804000,"Powiat nowosolski",2004,50.2
"6922",805000,"Powiat słubicki",2004,42
"6923",806000,"Powiat strzelecko-drezdenecki",2004,48.4
"6924",807000,"Powiat sulęciński",2004,49.1
"6925",808000,"Powiat świebodziński",2004,47.7
"6926",809000,"Powiat zielonogórski",2004,50.5
"6927",810000,"Powiat żagański",2004,50.5
"6928",811000,"Powiat żarski",2004,42.2
"6929",812000,"Powiat wschowski",2004,42.3
"6930",861000,"Powiat m.Gorzów Wielkopolski",2004,45.3
"6931",862000,"Powiat m.Zielona Góra",2004,45.4
"6932",1001000,"Powiat bełchatowski",2004,54.8
"6933",1002000,"Powiat kutnowski",2004,55.1
"6934",1003000,"Powiat łaski",2004,54.1
"6935",1004000,"Powiat łęczycki",2004,61.4
"6936",1005000,"Powiat łowicki",2004,50.7
"6937",1006000,"Powiat łódzki wschodni",2004,56.5
"6938",1007000,"Powiat opoczyński",2004,58.4
"6939",1008000,"Powiat pabianicki",2004,51.5
"6940",1009000,"Powiat pajęczański",2004,51
"6941",1010000,"Powiat piotrkowski",2004,55.2
"6942",1011000,"Powiat poddębicki",2004,52.9
"6943",1012000,"Powiat radomszczański",2004,60.5
"6944",1013000,"Powiat rawski",2004,52
"6945",1014000,"Powiat sieradzki",2004,56.9
"6946",1015000,"Powiat skierniewicki",2004,50.2
"6947",1016000,"Powiat tomaszowski",2004,56.3
"6948",1017000,"Powiat wieluński",2004,53.1
"6949",1018000,"Powiat wieruszowski",2004,50.2
"6950",1019000,"Powiat zduńskowolski",2004,44.9
"6951",1020000,"Powiat zgierski",2004,54.6
"6952",1021000,"Powiat brzeziński",2004,58.3
"6953",1061000,"Powiat m.Łódź",2004,54.9
"6954",1062000,"Powiat m.Piotrków Trybunalski",2004,53
"6955",1063000,"Powiat m.Skierniewice",2004,46
"6956",1201000,"Powiat bocheński",2004,41.3
"6957",1202000,"Powiat brzeski",2004,54.8
"6958",1203000,"Powiat chrzanowski",2004,50.1
"6959",1204000,"Powiat dąbrowski",2004,56.6
"6960",1205000,"Powiat gorlicki",2004,60.2
"6961",1206000,"Powiat krakowski",2004,48.8
"6962",1207000,"Powiat limanowski",2004,54.3
"6963",1208000,"Powiat miechowski",2004,56
"6964",1209000,"Powiat myślenicki",2004,51.3
"6965",1210000,"Powiat nowosądecki",2004,55.5
"6966",1211000,"Powiat nowotarski",2004,47.3
"6967",1212000,"Powiat olkuski",2004,54
"6968",1213000,"Powiat oświęcimski",2004,46.9
"6969",1214000,"Powiat proszowicki",2004,57.4
"6970",1215000,"Powiat suski",2004,49.2
"6971",1216000,"Powiat tarnowski",2004,49.5
"6972",1217000,"Powiat tatrzański",2004,52.7
"6973",1218000,"Powiat wadowicki",2004,48.5
"6974",1219000,"Powiat wielicki",2004,49.4
"6975",1261000,"Powiat m.Kraków",2004,48.9
"6976",1262000,"Powiat m.Nowy Sącz",2004,53.3
"6977",1263000,"Powiat m.Tarnów",2004,43.7
"6978",1401000,"Powiat białobrzeski",2004,63.1
"6979",1402000,"Powiat ciechanowski",2004,56
"6980",1403000,"Powiat garwoliński",2004,59.8
"6981",1404000,"Powiat gostyniński",2004,60.7
"6982",1405000,"Powiat grodziski",2004,46.4
"6983",1406000,"Powiat grójecki",2004,52.2
"6984",1407000,"Powiat kozienicki",2004,53.7
