"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19872",1021000,"Powiat brzeziński",2004,59.8
"19873",1061000,"Powiat m.Łódź",2004,57.4
"19874",1062000,"Powiat m.Piotrków Trybunalski",2004,57.2
"19875",1063000,"Powiat m.Skierniewice",2004,49.1
"19876",1201000,"Powiat bocheński",2004,50.7
"19877",1202000,"Powiat brzeski",2004,63.8
"19878",1203000,"Powiat chrzanowski",2004,55.9
"19879",1204000,"Powiat dąbrowski",2004,62.4
"19880",1205000,"Powiat gorlicki",2004,67.4
"19881",1206000,"Powiat krakowski",2004,50.5
"19882",1207000,"Powiat limanowski",2004,61.6
"19883",1208000,"Powiat miechowski",2004,58.7
"19884",1209000,"Powiat myślenicki",2004,56.9
"19885",1210000,"Powiat nowosądecki",2004,63.8
"19886",1211000,"Powiat nowotarski",2004,51.5
"19887",1212000,"Powiat olkuski",2004,61.3
"19888",1213000,"Powiat oświęcimski",2004,53
"19889",1214000,"Powiat proszowicki",2004,61.8
"19890",1215000,"Powiat suski",2004,54.4
"19891",1216000,"Powiat tarnowski",2004,56.5
"19892",1217000,"Powiat tatrzański",2004,56
"19893",1218000,"Powiat wadowicki",2004,54.6
"19894",1219000,"Powiat wielicki",2004,53.1
"19895",1261000,"Powiat m.Kraków",2004,52.1
"19896",1262000,"Powiat m.Nowy Sącz",2004,60.3
"19897",1263000,"Powiat m.Tarnów",2004,49.2
"19898",1401000,"Powiat białobrzeski",2004,69.3
"19899",1402000,"Powiat ciechanowski",2004,64.5
"19900",1403000,"Powiat garwoliński",2004,59.5
"19901",1404000,"Powiat gostyniński",2004,68.8
"19902",1405000,"Powiat grodziski",2004,50.3
"19903",1406000,"Powiat grójecki",2004,54.6
"19904",1407000,"Powiat kozienicki",2004,61.6
"19905",1408000,"Powiat legionowski",2004,54.6
"19906",1409000,"Powiat lipski",2004,64.9
"19907",1410000,"Powiat łosicki",2004,65.3
"19908",1411000,"Powiat makowski",2004,68.1
"19909",1412000,"Powiat miński",2004,54
"19910",1413000,"Powiat mławski",2004,69.6
"19911",1414000,"Powiat nowodworski",2004,53.9
"19912",1415000,"Powiat ostrołęcki",2004,70.8
"19913",1416000,"Powiat ostrowski",2004,65.7
"19914",1417000,"Powiat otwocki",2004,51
"19915",1418000,"Powiat piaseczyński",2004,47.2
"19916",1419000,"Powiat płocki",2004,71.9
"19917",1420000,"Powiat płoński",2004,67
